name,address,City,State,zip,phone,url,types,closed,lat,long,scraped_for_emails,phase1_success,phase2_success,
Learning Express,"1000 Main St S, Greenwood", Greenwood,SC,29646,(864) 229-1843,http://learningexpress.com/,"[""store"",""point_of_interest"",""establishment""]",,34.182556,-82.1577889,,#N/A,learningexpress.com,
Miller's,"335 Mamaroneck Ave, Mamaroneck", Mamaroneck,NY,10543,(914) 698-5070,http://www.millerstoys.com/,"[""bicycle_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.9516137,-73.7350022,,#N/A,millerstoys.com,
Kaleidoscope Toy Store,"8722 3rd Ave, Brooklyn", Brooklyn,NY,11209,(718) 491-2051,http://kaleidoscopecommunities.com/,"[""store"",""point_of_interest"",""establishment""]",,40.6222586,-74.031794,,#N/A,kaleidoscopecommunities.com,
Just Kidding Around,"507 Bloomfield Ave, Montclair", Montclair,NJ,7042,(973) 233-9444,http://www.kiddingaround.us/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.8148919,-74.2184654,,#N/A,kiddingaround.us,
A NU TOY STORE,"16 Main St, Tarrytown", Tarrytown,NY,10591,(914) 372-7144,http://www.anutoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,41.0762824,-73.8590821,,#N/A,anutoystore.com,
The Enchanted Toy Store,"Morningside Plaza, 1082 E Bastanchury Rd #102, Fullerton", Fullerton,CA,92835,(714) 257-0112,http://www.enchantedtoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,33.8989373,-117.909854,,#N/A,enchantedtoystore.com,
Building Blocks Toy Stores,"2130 W Division St, Chicago", Chicago,IL,60622,(773) 235-1888,http://www.buildingblockstoys.com/,"[""book_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.9033031,-87.6808757,,#N/A,buildingblockstoys.com,
Stellabella Toys,"244 Legacy Pl, Dedham", Dedham,MA,2026,(781) 329-6290,http://stellabellatoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.2320161,-71.1772387,,#N/A,stellabellatoys.com,
The Toy Shop of Concord,"89 Thoreau St, Concord", Concord,MA,1742,(978) 369-2553,http://www.concordtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.4568788,-71.357041,,#N/A,concordtoys.com,
Stamford Toys,"970 High Ridge Rd Behind Fedex, Stamford", Stamford,CT,6905,(203) 322-7786,http://www.stamfordtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.104555,-73.5487823,,#N/A,stamfordtoys.com,
Mattel,"333 Continental Boulevard, El Segundo", El Segundo,CA,90245,(310) 252-3384,http://www.mattel.com/,"[""store"",""point_of_interest"",""establishment""]",,33.920575,-118.3914183,,#N/A,mattel.com,
Toy Store Auto Sales,"67 S Broadway, Salem", Salem,NH,3079,(603) 893-2253,http://www.toystoreusedcars.com/,"[""car_dealer"",""store"",""point_of_interest"",""establishment""]",,42.7753746,-71.2243872,,#N/A,toystoreusedcars.com,
ToyWiz,"347 West Rt 59, Nanuet", Nanuet,NY,10954,(845) 624-2224,http://www.toywiz.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,41.1012604,-74.0263597,,#N/A,toywiz.com,
Puzzle Zoo Mini Toy Store,"2910 Main St, Santa Monica", Santa Monica,CA,90405,(310) 396-4331,http://www.puzzlezoo.com/,"[""store"",""point_of_interest"",""establishment""]",,33.9992457,-118.4810276,,#N/A,puzzlezoo.com,
All Time Toys,"8185 Main St, Ellicott City", Ellicott City,MD,21043,(410) 418-4788,http://www.alltimetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.2673259,-76.797612,,#N/A,alltimetoys.com,
HUZZAH! Toys,"2010 Lincoln Blvd, Venice", Venice,CA,90291,(310) 452-2900,http://www.huzzahtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,33.9955861,-118.4554892,,#N/A,huzzahtoys.com,
"Learning Express Toys of Franklin, MA","80 Franklin Village Drive, Franklin", Franklin,MA,2038,(508) 553-9876,http://www.learningexpress.com/store/franklin-ma/,"[""store"",""point_of_interest"",""establishment""]",,42.0880031,-71.4237179,,#N/A,learningexpress.comstorefranklin-ma,
Giant Steps,"226 Kings Hwy E, Fairfield", Fairfield,CT,6825,(203) 873-0754,http://www.giantstepstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.1751189,-73.226979,,#N/A,giantstepstoys.com,
New Canaan Toy Store,"94 Park St, New Canaan", New Canaan,CT,6840,(203) 966-2424,http://nctoystore.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.1461559,-73.4950199,,#N/A,nctoystore.com,
Tipo's Toy Box,"724 Center Point Way, Gaithersburg", Gaithersburg,MD,20878,(301) 527-1780,http://tipostoybox.com/,"[""store"",""point_of_interest"",""establishment""]",,39.1221194,-77.2357681,,#N/A,tipostoybox.com,
Magic Beans - Fairfield,"1530 Post Rd, Fairfield", Fairfield,CT,6824,(203) 692-4317,http://mbeans.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,41.1411986,-73.2585093,,#N/A,mbeans.com,
Whirlygigs Toy Shop,"107 Water St, Exeter", Exeter,NH,3833,(603) 772-4923,http://whirlygigstoyshop.com/,"[""store"",""point_of_interest"",""establishment""]",,42.9815479,-70.946674,,#N/A,whirlygigstoyshop.com,
Toy Castle,"11325 Seven Locks Rd, Potomac", Potomac,MD,20854,(301) 299-0680,http://www.toycastlepotomac.com/,"[""store"",""point_of_interest"",""establishment""]",,39.042079,-77.1580867,,#N/A,toycastlepotomac.com,
Green Elephant,"3 Market St, Ipswich", Ipswich,MA,1938,(978) 356-3636,http://www.greenelephanttoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.680016,-70.8379961,,#N/A,greenelephanttoys.com,
Eureka!,"50 Water St, Newburyport", Newburyport,MA,1950,(978) 465-9359,http://www.eurekatoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.810271,-70.8662867,,#N/A,eurekatoys.com,
Geppetto's Toy Box,"730 Lake St, Oak Park", Oak Park,IL,60301,(708) 445-9906,http://www.geppettostoybox.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,41.8888447,-87.7941881,,#N/A,geppettostoybox.com,
Smitten Kitten,"3010 Lyndale Ave S, Minneapolis", Minneapolis,MN,55408,(612) 721-6088,http://www.smittenkittenonline.com/,"[""store"",""point_of_interest"",""establishment""]",,44.9478862,-93.2885129,,#N/A,smittenkittenonline.com,
Marvin's Toy Store,"64 N Williams St, Crystal Lake", Crystal Lake,IL,60014,(779) 220-4179,http://www.marvinstoystore.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,42.2428125,-88.3177457,,#N/A,marvinstoystore.com,
Mischief Toy Store,"818 Grand Ave, St Paul", St Paul,MN,55105,(651) 493-3307,http://www.mischieftoy.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,44.939959,-93.134429,,#N/A,mischieftoy.com,
Burlingame Five Little Monkeys,"1111 Burlingame Ave, Burlingame", Burlingame,CA,94010,(650) 342-4411,http://www.5littlemonkeys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.579398,-122.3456614,,#N/A,5littlemonkeys.com,
Toyology West Bloomfield,"6389 Orchard Lake Rd, West Bloomfield Township", West Bloomfield Township,MI,48322,(248) 562-7524,http://toyologytoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.545018,-83.35944,,#N/A,toyologytoys.com,
Talbotâ€™s Toyland,"445 S B St, San Mateo", San Mateo,CA,94401,(650) 931-8100,http://www.talbotstoyland.com/,"[""store"",""point_of_interest"",""establishment""]",,37.5643593,-122.3208884,,#N/A,talbotstoyland.com,
Learning Express Toys of Fort Lauderdale,"5975 N Federal Hwy #138, Fort Lauderdale", Fort Lauderdale,FL,33308,(954) 938-4335,http://www.learningexpress.com/store/ft-lauderdale/,"[""store"",""point_of_interest"",""establishment""]",,26.2017359,-80.109843,,#N/A,learningexpress.comstoreft-lauderdale,
Amato's Toy and Hobby,"283 Main St, New Britain", New Britain,CT,6051,(860) 229-9069,http://www.amatostoyandhobby.com/,"[""store"",""point_of_interest"",""establishment""]",,41.668182,-72.781323,,#N/A,amatostoyandhobby.com,
Genuine Toy Co.,"550 Forest Ave Suite 8, Plymouth", Plymouth,MI,48170,(734) 414-9500,http://www.genuinetoyco.com/,"[""store"",""point_of_interest"",""establishment""]",,42.3688623,-83.4709642,,#N/A,genuinetoyco.com,
Once Upon a Time,"19285 Detroit Rd, Rocky River", Rocky River,OH,44116,(440) 333-2327,http://onceuponatimetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.4816911,-81.835953,,#N/A,onceuponatimetoys.com,
Medina Funtastic Toyz,"140 W Washington St, Medina", Medina,OH,44256,(330) 952-1130,http://www.funtastictoyz.com/,"[""store"",""point_of_interest"",""establishment""]",,41.137662,-81.865786,,#N/A,funtastictoyz.com,
One Two Kangaroo Toys,"4022 Campbell Ave, Arlington", Arlington,VA,22206,(703) 845-9099,http://villageatshirlington.com/shopping/specialty/one-two-kangaroo-toys/,"[""store"",""point_of_interest"",""establishment""]",,38.8406355,-77.0875185,,#N/A,villageatshirlington.comshoppingspecialtyone-two-kangaroo-toys,
Noggin Factory,"53 Washington St, Dover", Dover,NH,3820,(603) 742-0012,http://www.nogginfactory.com/,"[""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.1952515,-70.8732823,,#N/A,nogginfactory.com,
Bright Idea Toys,"1050 Woods Mill Rd, Town and Country", Town and Country,MO,63017,(636) 386-8300,http://www.brightideastoys.com/,"[""store"",""point_of_interest"",""establishment""]",,38.622855,-90.513581,,#N/A,brightideastoys.com,
Learning Express of Havertown,"1305 West Chester Pike, Store #23, Manoa Shopping Center, Havertown", Havertown,PA,19083,(610) 352-8697,http://www.learningexpress.com/store/havertown/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,39.9743731,-75.321854,,#N/A,learningexpress.comstorehavertown,
