name,address,phone,url,types,closed,lat,long
Goo Goo Gaa Gaa,"18905 W Capitol Dr, Brookfield, WI 53045, United States",(262) 790-6890,http://www.googoogaagaa.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.0900289,-88.1472336
crazy 8,"95 N Moorland Rd, Brookfield, WI 53005, United States",(262) 784-3678,http://crazy8.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.0322184,-88.1093949
Baby and Kids Rooms,"143 Roosevelt Ave, Hato Rey, PR 00918, United States",(787) 766-4321,http://babykidsrooms.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.425573,-66.057782
Tentaciones D' Bebe,"Algarrobo, Vega Baja 00693, Puerto Rico",(787) 231-7556,http://www.facebook.com/tentacionesdbebe,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.4417484,-66.4245126
Crazy 8,"218 Yorktown Shopping Center, Lombard, IL 60148, United States",(630) 620-8741,http://www.crazy8.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.8395878,-88.008024
Gymboree,"127 Yorktown Shopping Center, Lombard, IL 60148, United States",(630) 629-5040,http://www.gymboree.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.8395261,-88.0073215
Burlington Coat Factory,"SR 2 and Main Avenue, Bayamon, PR 00960, United States",(787) 740-6517,http://burlingtoncoatfactory.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.395476,-66.159721
Justice,"5300 S 76th St, Greendale, WI 53129, United States",(414) 423-5689,http://stores.shopjustice.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,42.9482022,-88.0042598
Janie and Jack,"4999 Old Orchard Shopping Center, Skokie, IL 60077, United States",(847) 763-9223,http://www.janieandjack.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,42.0593521,-87.7487041
Pink & Green,"40 Power Dr, Council Bluffs, IA 51501, United States",(712) 366-8123,https://www.facebook.com/Pink-Green-Kids-Shop-149397011768052/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.2248834,-95.8464727
