name,address,City,State,zip,phone,url,types,closed,lat,long,count
Goody's Outlet Store,"1306 Woodward Ave, Muscle Shoals", Muscle Shoals,AL,35661,(256) 386-7641,http://stores.stage.com/al/muscle-shoals/1306-woodward-ave.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,34.7473177,-87.6699897,9
Goody's Outlet Store,"613 Martin St N, Pell City", Pell City,AL,35125,(205) 525-0780,http://stores.stage.com/al/pell-city/613-martin-st-n.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.5944835,-86.284262,9
Burberry,"795 S Grand Central Pkwy, Las Vegas", Las Vegas,NV,89106,(702) 454-7975,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0113,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,36.1651631,-115.1585908,9
Burberry,"970 I Street NW, Suite #305, Washington", Washington,DC,20001,(202) 463-3000,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA1237,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,38.900606,-77.02554,9
Burberry,"125 Westchester Ave, White Plains", White Plains,NY,10601,(914) 997-7770,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA2040,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,41.0314301,-73.759216,9
Burberry,"73-061 El Paseo, Palm Desert", Palm Desert,CA,92260,(760) 469-4880,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0096,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,33.7193937,-116.3901747,9
Burberry,"1 Riverside Square Mall, Hackensack", Hackensack,NJ,07601,(201) 342-8810,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0089,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,40.90641,-74.030054,9
Burberry,"342 San Lorenzo Ave, Miami", Miami,FL,33146,(305) 446-1550,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA2069,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,25.7321752,-80.2607832,9
Burberry,"130 Stanford Shopping Center, Palo Alto", Palo Alto,CA,94304,(650) 327-5050,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0091,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,37.4426872,-122.1724485,9
Goody's Outlet Store,"111 Foothills Mall Dr, Maryville", Maryville,TN,37801,(865) 980-6412,http://stores.stage.com/tn/maryville/111-foothills-mall-dr.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.7470457,-83.9967225,9
Goody's Outlet Store,"6801 Dixie Hwy Ste 109, Louisville", Louisville,KY,40258,(502) 935-3680,http://stores.stage.com/ky/louisville/6801-dixie-hwy.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,38.1515693,-85.8334079,9
Goody's Outlet Store,"2403 Ponderosa Dr, Chickasha", Chickasha,OK,73018,(405) 222-0247,http://stores.stage.com/ok/chickasha/2403-ponderosa-dr.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.0232004,-97.9274635,9
Burberry,"1200 Morris Turnpike, Suite # 277B, Short Hills", Short Hills,NJ,07078,(973) 379-7100,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0265,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,40.7402706,-74.3633277,9
Goody's Outlet Store,"1056 S Bishop Ave, Rolla", Rolla,MO,65401,(573) 341-3600,http://stores.stage.com/mo/rolla/1056-s-bishop-ave.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.9281175,-91.7812303,9
Goody's Outlet Store,"714 Hwy 78 E #120, Jasper", Jasper,AL,35501,(205) 302-0107,http://stores.stage.com/al/jasper/714-highway-78-e.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.8479368,-87.2666804,9
Goody's Outlet Store,"1400 N Gateway Ave, Rockwood", Rockwood,TN,37854,(865) 354-4518,http://stores.stage.com/tn/rockwood/1400-n-gateway-ave.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.887037,-84.6445001,9
Goody's Outlet Store,"512 Lamar Hwy, Darlington", Darlington,SC,29532,(843) 393-1491,http://stores.stage.com/sc/darlington/512-lamar-hwy.html?brand=Goodys&utm_source=local&utm_medium=yext&utm_campaign=general_goodys&utm_term=link,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,34.2924366,-79.8920725,9
Burberry,"501 E Hyman Ave, Aspen", Aspen,CO,81611,(970) 920-3119,https://us.burberry.com/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=USA0283,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,39.1886273,-106.8184493,9
Gap Kids,"Outlet Shops of El Paso, Canutillo", Canutillo,TX,79835,(915) 877-5251,http://www.gap.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,31.9124808,-106.5854485,8
Gap Kids,"7322 Jones Maltsberger Rd #114, San Antonio", San Antonio,TX,78209,(210) 804-0299,http://www.gap.com/products/gap-kids.jsp,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,29.4990781,-98.4808169,8
Gap Kids,"1615 E Empire St, Bloomington", Bloomington,IL,61701,(309) 661-9663,"http://www.gap.com/customerService/storeLocator.do?cid=&mlink=5058,4180932,StoreLocator&clink=4180932","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.4862517,-88.9560413,8
Polo Ralph Lauren Children's Factory Store,"8225 Arroyo Cir, Gilroy", Gilroy,CA,95020,(408) 842-7951,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=66385&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.021353,-121.564637,8
Younkers,"102 S Delaware Ave, Mason City", Mason City,IA,50401,(641) 421-2020,http://www.younkers.com/stores/ia/mason-city/102-south-delaware.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,43.15038,-93.199828,8
Younkers,"US Hwy 20 & South 29th St, Fort Dodge", Fort Dodge,IA,50501,(515) 574-4200,http://www.younkers.com/stores/ia/fort-dodge/us-hwy-20---south-29th-st.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,42.5036475,-94.1589196,8
Younkers,"550 S Gear Ave, West Burlington", West Burlington,IA,52655,(319) 753-5491,http://www.younkers.com/stores/ia/west-burlington/550-south-gear.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,40.8225001,-91.1675655,8
Younkers,"2500 S Center St, Marshalltown", Marshalltown,IA,50158,(641) 753-2950,http://www.younkers.com/stores/ia/marshalltown/2500-south-center-street.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,42.015248,-92.910203,8
Younkers,"1780 Plover Rd, Plover", Plover,WI,54467,(715) 344-6942,http://www.younkers.com/stores/wi/plover/1780-plover-rd.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,44.456252,-89.524106,8
Younkers,"3050 US Hwy 41 W, Marquette", Marquette,MI,49855,(906) 228-6011,http://www.younkers.com/stores/mi/marquette/3050-us-hwy-41-w.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,46.5509945,-87.4533515,8
Gap Kids,"1510 Walnut St, Philadelphia", Philadelphia,PA,19102,(215) 732-3391,http://www.gap.com/products/philadelphia-pa-store-638.jsp?tid=gpss000001,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.9494526,-75.166414,8
