name,address,City,State,zip,phone,url,Types,Closed,Lat,Long,Name Count
Learning Express,"1000 Main St S, Greenwood", Greenwood,SC,29646,(864) 229-1843,https://learningexpress.com/,"[""store"",""point_of_interest"",""establishment""]",,34.182556,-82.1577889,1
Miller's,"335 Mamaroneck Ave, Mamaroneck", Mamaroneck,NY,10543,(914) 698-5070,http://www.millerstoys.com/,"[""bicycle_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.9516137,-73.7350022,1
Kaleidoscope Toy Store,"8722 3rd Ave, Brooklyn", Brooklyn,NY,11209,(718) 491-2051,http://kaleidoscopecommunities.com/,"[""store"",""point_of_interest"",""establishment""]",,40.6222586,-74.031794,1
Just Kidding Around,"507 Bloomfield Ave, Montclair", Montclair,NJ,07042,(973) 233-9444,http://www.kiddingaround.us/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.8148919,-74.2184654,1
A NU TOY STORE,"16 Main St, Tarrytown", Tarrytown,NY,10591,(914) 372-7144,http://www.anutoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,41.0762824,-73.8590821,1
The Enchanted Toy Store,"Morningside Plaza, 1082 E Bastanchury Rd #102, Fullerton", Fullerton,CA,92835,(714) 257-0112,http://www.enchantedtoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,33.8989373,-117.909854,1
Building Blocks Toy Stores,"2130 W Division St, Chicago", Chicago,IL,60622,(773) 235-1888,http://www.buildingblockstoys.com/,"[""book_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.9033031,-87.6808757,1
Stellabella Toys,"244 Legacy Pl, Dedham", Dedham,MA,02026,(781) 329-6290,http://stellabellatoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.2320161,-71.1772387,1
The Toy Shop of Concord,"89 Thoreau St, Concord", Concord,MA,01742,(978) 369-2553,http://www.concordtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.4568788,-71.357041,1
Stamford Toys,"970 High Ridge Rd Behind Fedex, Stamford", Stamford,CT,06905,(203) 322-7786,http://www.stamfordtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.104555,-73.5487823,1
Mattel,"333 Continental Boulevard, El Segundo", El Segundo,CA,90245,(310) 252-3384,http://www.mattel.com/,"[""store"",""point_of_interest"",""establishment""]",,33.920575,-118.3914183,1
Toy Store Auto Sales,"67 S Broadway, Salem", Salem,NH,03079,(603) 893-2253,http://www.toystoreusedcars.com/,"[""car_dealer"",""store"",""point_of_interest"",""establishment""]",,42.7753746,-71.2243872,1
ToyWiz,"347 West Rt 59, Nanuet", Nanuet,NY,10954,(845) 624-2224,http://www.toywiz.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,41.1012604,-74.0263597,1
Puzzle Zoo Mini Toy Store,"2910 Main St, Santa Monica", Santa Monica,CA,90405,(310) 396-4331,http://www.puzzlezoo.com/,"[""store"",""point_of_interest"",""establishment""]",,33.9992457,-118.4810276,1
All Time Toys,"8185 Main St, Ellicott City", Ellicott City,MD,21043,(410) 418-4788,https://www.alltimetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.2673259,-76.797612,1
HUZZAH! Toys,"2010 Lincoln Blvd, Venice", Venice,CA,90291,(310) 452-2900,http://www.huzzahtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,33.9955861,-118.4554892,1
"Learning Express Toys of Franklin, MA","80 Franklin Village Drive, Franklin", Franklin,MA,02038,(508) 553-9876,http://www.learningexpress.com/store/franklin-ma/,"[""store"",""point_of_interest"",""establishment""]",,42.0880031,-71.4237179,1
Giant Steps,"226 Kings Hwy E, Fairfield", Fairfield,CT,06825,(203) 873-0754,http://www.giantstepstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.1751189,-73.226979,1
New Canaan Toy Store,"94 Park St, New Canaan", New Canaan,CT,06840,(203) 966-2424,http://nctoystore.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.1461559,-73.4950199,1
Tipo's Toy Box,"724 Center Point Way, Gaithersburg", Gaithersburg,MD,20878,(301) 527-1780,http://tipostoybox.com/,"[""store"",""point_of_interest"",""establishment""]",,39.1221194,-77.2357681,1
