"name","address","phone","url","types","closed","lat","long"
"The Children's Place","725 West Main Ave, Bayamon, PR 00961, United States","(787) 779-4510","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",true,18.406894,-66.161851
"Tentaciones D' Bebe","Algarrobo, Vega Baja 00693, Puerto Rico","(787) 231-7556","http://www.facebook.com/tentacionesdbebe","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.4417484,-66.42451260000001
"Gymboree","7431 N Kendall Dr, Miami, FL 33156, United States","(305) 665-3013","http://www.gymboree.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,25.6907296,-80.31343129999999
"Gymboree","7431 N Kendall Dr, Miami, FL 33156, United States","(305) 665-3013","http://www.gymboree.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,25.6907296,-80.31343129999999
"The Children's Place","Plaza Rio Hondo, Bayamón, PR 00961, United States","(787) 261-1402","https://www.childrensplace.com/","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.4179488,-66.1712716
"The Children's Place","Gran Caribe Mall, Space 6, Vega Alta, PR 00692, United States","(787) 270-2875","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",true,18.41064949999999,-66.32091059999999
"My Cutie Apparel","405 E Main St, Riverton, WY 82501, United States","(307) 856-5683",,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.0243809,-108.3859108
"The Children's Place","Rexville Town Center, PR167 & Avenida LS Cumbre, Bayamon, PR 00957, United States","(787) 279-4303","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.36632479999999,-66.1889442
"The Children's Place","506 Calle Truncado, Hatillo, PR 00659, United States","(787) 817-1100","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.479845,-66.769943
"Baby Depot","Centro del Sur Mall, Miguel A Poe Blvd. KM 26.4, Ponce, PR 00731, United States","(787) 813-3010","http://babydepot.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.010158,-66.602087
"The Children's Place","Plaza Del Caribe, 2050 Ponce Bypass, Ponce, PR 00717, United States","(787) 812-1215","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,17.994243,-66.61165199999999
"The Children's Place","Mayagüez Mall, 975 Hostos Avenue, Mayagüez, PR 00680, United States","(787) 806-0404","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.1557708,-67.14127049999999
"Pibes","109 Vista Azul Shopping Center, Arecibo, PR 00612, United States","(787) 879-2443","http://www.pibeskids.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.4758539,-66.7539539
"Kmart","1960 N Federal Blvd, Riverton, WY 82501, United States","(307) 857-2070","http://www.kmart.com/stores/wyoming/riverton/4837.html","[""department_store"",""shoe_store"",""electronics_store"",""clothing_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.0434362,-108.3826779
"Baby Depot","229 Springer Dr, Bangor, ME 04401, United States","(207) 262-8777","http://burlingtoncoatfactory.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.842276,-68.73797119999999
"Gap Kids","663 Stillwater Ave, Bangor, ME 04401, United States","(207) 942-9104",,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.8308309,-68.7488171
"Gap Outlet","135 Prime Outlets Blvd, Barceloneta, PR 00617, United States","(787) 846-0384","http://www.gap.com/products/barceloneta-pr-store-1643.jsp?tid=gpss000001","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.438575,-66.54191399999999
"Children's Place","93 Silver St, Waterville, ME 04901, United States","(207) 877-2258","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.5454616,-69.63792889999999
"The Children's Place","Las Catalinas Mall, Road 52 of Betances ST, Caguas, PR 00727, United States","(787) 745-2200","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.2364259,-66.0414227
"Children's Place","93 Silver St, Waterville, ME 04901, United States","(207) 877-2258","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.5454616,-69.63792889999999
"Kmart","701 5th Ave S, Devils Lake, ND 58301, United States","(701) 662-4621","http://www.kmart.com/stores/north-dakota/devils-lake/4704.html","[""department_store"",""shoe_store"",""electronics_store"",""clothing_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,48.1023921,-98.8611887
"Burlington Coat Factory","Miguel a Pou Blvd, Ponce, PR 00731, United States","(787) 812-8187","http://burlingtoncoatfactory.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.011413,-66.602205
"Marshalls","Av. Jesús T. Piñero, Cayey, 00736, Puerto Rico","(787) 263-0996","http://www.marshallsonline.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.1181924,-66.1425501
"Justice","663, Bangor, ME, United States","(866) 246-5822","http://www.shopjustice.com/","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.8310861,-68.7487878
"Gap Kids","663 Stillwater Ave, Bangor, ME 04401, United States","(207) 942-9104",,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.8308309,-68.7488171
"The Children's Place","1381 Regent St, Fredericton, NB E3C 1A2, Canada","(506) 457-4558","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,45.936195,-66.665323
"The Children's Place","Las Catalinas Mall, Road 52 of Betances ST, Caguas, PR 00727, United States","(787) 745-2200","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.2364259,-66.0414227
"The Children's Place","1381 Regent St, Fredericton, NB E3C 1A2, Canada","(506) 457-4558","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,45.936195,-66.665323
"The Children's Place","663 Stillwater Ave, Bangor, ME 04401, United States","(207) 262-7135","http://www.childrensplace.com/","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.8306229,-68.74929019999999
"The Children's Place","663 Stillwater Ave, Bangor, ME 04401, United States","(207) 262-7135","http://www.childrensplace.com/","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.8306229,-68.74929019999999
"Gap","663 Stillwater Avenue, Bangor, ME 04401, United States","(207) 942-9104","http://www.gap.com/products/bangor-me-store-2222.jsp?tid=gpss000001","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",true,44.83083449999999,-68.7487563
"The Children's Place","Plaza Rio Hondo, Bayamón, PR 00961, United States","(787) 261-1402","https://www.childrensplace.com/","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.4179488,-66.1712716
"The Children's Place","Rexville Town Center, PR167 & Avenida LS Cumbre, Bayamon, PR 00957, United States","(787) 279-4303","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.36632479999999,-66.1889442
"The Children's Place","Plaza Del Caribe, 2050 Ponce Bypass, Ponce, PR 00717, United States","(787) 812-1215","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,17.994243,-66.61165199999999
"Unik Baby Photo Studio & Baby Boutique","Ave. Aguas Buenas 11-11 local 7, Bayamón, PR 00959, United States","(939) 204-1973","http://www.unikbaby.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.39007,-66.146637
"Carter's","11 Trinity Ave, Fredericton, NB E3C 0B7, Canada","(506) 474-9196","https://www.cartersoshkosh.ca/??cm_mmc=CartersCA_Local-_-Google-_-CA070a-_-All","[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,45.9302874,-66.6627172
"Just for my baby","B6 Calle Laurel, Bayamón, 00956, Puerto Rico","(787) 466-6291","http://www.facebook.com/just4mybaby","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.373602,-66.17087099999999
"Justice","1381 Regent St, Fredericton, NB E3C 1A2, Canada","(506) 455-4647","http://stores.shopjustice.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,45.934473,-66.6641089
"The Children's Place","Las Catalinas Mall, Road 52 of Betances ST, Caguas, PR 00727, United States","(787) 745-2200","http://www.childrensplace.com/","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.2364259,-66.0414227
"Bealls","1070 W Main St, Riverton, WY 82501, United States","(307) 856-6618","http://stores.stage.com/wy/riverton/1070-w-main-st.html?brand=Bealls&utm_source=local&utm_medium=yext&utm_campaign=general_bealls&utm_term=link","[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.0262328,-108.4074201
"Gap Outlet","11 Trinity Drive, Fredericton, NB E3C 0A4, Canada","(506) 452-1603","http://www.gap.com/customerService/store.do?storeid=2427","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,45.9301821,-66.66288
"Disney Store","1 Premium Outlets Blvd, Barceloneta, PR 00617, United States","(787) 846-0700","http://stores.disneystore.com/pr/barceloneta/851/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places","[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.438202,-66.540633
