city,state,population,latitude,longitude,toy store (20),child toy store (20),toy store (20-w/ coords radius),"children’s clothing store (20-w/ coords, radius)","children’s clothing store (20-w/ coords, rankby)"
new york,NY,8107916,40.7141667,-74.0063889,X,,X,X,X
los angeles,CA,3877129,34.0522222,-118.2427778,X,,X,X,X
chicago,IL,2841952,41.85,-87.65,X,,X,X,X
houston,TX,2027712,29.7630556,-95.3630556,X,X,X,X,X
philadelphia,PA,1453268,39.9522222,-75.1641667,X,,X,X,X
phoenix,AZ,1428509,33.4483333,-112.0733333,X,X,X,X,X
san diego,CA,1287050,32.7152778,-117.1563889,X,,X,X,X
san antonio,TX,1256810,29.4238889,-98.4933333,X,,X,X,X
dallas,TX,1211704,32.7833333,-96.8,X,,X,X,X
san jose,CA,897460,37.3394444,-121.8938889,X,,X,X,X
detroit,MI,884941,42.3313889,-83.0458333,X,,X,X,X
jacksonville,FL,797557,30.3319444,-81.6558333,X,,X,X,X
indianapolis,IN,773283,39.7683333,-86.1580556,X,,X,X,X
columbus,OH,736836,39.9611111,-82.9988889,X,,X,X,X
san francisco,CA,732072,37.775,-122.4183333,X,,X,X,X
austin,TX,678368,30.2669444,-97.7427778,X,,X,X,X
memphis,TN,641608,35.1494444,-90.0488889,X,,X,X,X
fort worth,TX,618119,32.7252778,-97.3205556,X,,X,X,X
baltimore,MD,610892,39.2902778,-76.6125,X,,X,X,X
charlotte,NC,598351,35.2269444,-80.8433333,X,,X,X,X
el paso,TX,597181,31.7586111,-106.4863889,X,,X,X,X
milwaukee,WI,579180,43.0388889,-87.9063889,X,,X,X,X
boston,MA,571281,42.3583333,-71.0602778,X,,X,X,X
seattle,WA,569369,47.6063889,-122.3308333,X,,X,X,X
denver,CO,555981,39.7391667,-104.9841667,X,,X,X,X
washington,DC,552433,38.895,-77.0366667,X,,X,X,X
portland,OR,540513,45.5236111,-122.675,X,,X,X,X
las vegas,NV,540111,36.175,-115.1363889,X,,X,X,X
oklahoma city,OK,532950,35.4675,-97.5161111,X,,X,X,X
nashville,TN,530852,36.1658333,-86.7844444,X,,X,X,X
tucson,AZ,518907,32.2216667,-110.9258333,X,,X,X,X
albuquerque,NM,487378,35.0844444,-106.6505556,X,,X,X,X
long beach,CA,482618,33.7669444,-118.1883333,X,,X,X,X
sacramento,CA,467898,38.5816667,-121.4933333,X,,X,X,X
fresno,CA,465183,36.7477778,-119.7713889,X,,X,X,X
new orleans,LA,459336,29.9544444,-90.075,X,,X,X,X
mesa,AZ,449878,33.4222222,-111.8219444,X,,X,X,X
cleveland,OH,449514,41.4994444,-81.6955556,X,X,X,X,X
virginia beach,VA,449386,36.8527778,-75.9783333,X,X,X,X,X
kansas city,KS,442028,39.1141667,-94.6272222,X,,X,X,X
kansas city,MO,442028,39.0997222,-94.5783333,X,,X,X,X
